ObjectID,AccessionNumber,MediaXrefID,ImageURL,Filename,MediaType,MediaView,Rank,IsPrimary
1011,1984.30.5,19878,https://art.thewalters.org/images/raw/CUR_1984.30.5_Rt_DD_RS2009.jpg,CUR_1984.30.5_Rt_DD_RS2009.jpg,Image,Right,2,0
1011,1984.30.5,19877,https://art.thewalters.org/images/raw/CUR_1984.30.5_Bot_DD_RS2009.jpg,CUR_1984.30.5_Bot_DD_RS2009.jpg,Image,Bottom,3,0
1011,1984.30.5,19876,https://art.thewalters.org/images/raw/CUR_1984.30.5_Back_DD_RS2009.jpg,CUR_1984.30.5_Back_DD_RS2009.jpg,Image,Back,1,1
17902,1984.30.6,97164,https://art.thewalters.org/images/raw/PS4_1984.30.6_Fnt_DD_AT22_31360-tms.jpg,PS4_1984.30.6_Fnt_DD_AT22_31360-tms.jpg,Image,front,1,1
33669,1985.20.15-16,104432,https://art.thewalters.org/images/raw/PS4_1985.20.15-16_VwA_DD_AT26_20260203.jpg,PS4_1985.20.15-16_VwA_DD_AT26_20260203.jpg,Image,view a,2,0
33669,1985.20.15-16,104431,https://art.thewalters.org/images/raw/PS4_1985.20.15-16_FntVwB_DD_AT26_20260203.jpg,PS4_1985.20.15-16_FntVwB_DD_AT26_20260203.jpg,Image,front,3,0
33669,1985.20.15-16,104430,https://art.thewalters.org/images/raw/PS4_1985.20.15-16_FntVwA_DD_AT26_20260203.jpg,PS4_1985.20.15-16_FntVwA_DD_AT26_20260203.jpg,Image,front,1,1
5252,1985.20.19-20,96257,https://art.thewalters.org/images/raw/PS4_1985.20.19-20_DD_AT21_27052-tms.jpg,PS4_1985.20.19-20_DD_AT21_27052-tms.jpg,Image,front,2,0
5252,1985.20.19-20,96256,https://art.thewalters.org/images/raw/PS4_1985.20.19-20_DD_AT21_27044-tms.jpg,PS4_1985.20.19-20_DD_AT21_27044-tms.jpg,Image,front,1,1
29491,1985.20.23-24,96204,https://art.thewalters.org/images/raw/PS4_1985.20.23-24_DD_AT21_27036-tms.jpg,PS4_1985.20.23-24_DD_AT21_27036-tms.jpg,Image,back,2,0
29491,1985.20.23-24,96203,https://art.thewalters.org/images/raw/PS4_1985.20.23-24_DD_AT21_27035-tms.jpg,PS4_1985.20.23-24_DD_AT21_27035-tms.jpg,Image,front,1,1
82623,1985.20.360,96211,https://art.thewalters.org/images/raw/PS4_1985.20.360_DD_AT21_27188-tms.jpg,PS4_1985.20.360_DD_AT21_27188-tms.jpg,Image,right,2,0
82623,1985.20.360,96212,https://art.thewalters.org/images/raw/PS4_1985.20.360_DD_AT21_27191-tms.jpg,PS4_1985.20.360_DD_AT21_27191-tms.jpg,Image,left,1,1
39121,1987.11.1,103104,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwB_DD_ED25_58623.jpg,PS4_1987.11.1_VwB_DD_ED25_58623.jpg,Image,view b,2,0
39121,1987.11.1,103106,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwC_DD_ED25_58629.jpg,PS4_1987.11.1_VwC_DD_ED25_58629.jpg,Image,view c,3,0
39121,1987.11.1,103107,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwD_DD_ED25_58740.jpg,PS4_1987.11.1_VwD_DD_ED25_58740.jpg,Image,view d,4,0
39121,1987.11.1,103108,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwE_DD_ED25_58745.jpg,PS4_1987.11.1_VwE_DD_ED25_58745.jpg,Image,view e,5,0
39121,1987.11.1,103109,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwF_DD_ED25_58746.jpg,PS4_1987.11.1_VwF_DD_ED25_58746.jpg,Image,view f,6,0
39121,1987.11.1,103110,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwG_DD_ED25_58748.jpg,PS4_1987.11.1_VwG_DD_ED25_58748.jpg,Image,view g,7,0
39121,1987.11.1,103111,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwH_DD_ED25_58750.jpg,PS4_1987.11.1_VwH_DD_ED25_58750.jpg,Image,view h,8,0
39121,1987.11.1,103099,https://art.thewalters.org/images/raw/PS4_1987.11.1_Bot_DD_ED25_58764.jpg,PS4_1987.11.1_Bot_DD_ED25_58764.jpg,Image,bottom,9,0
39121,1987.11.1,103100,https://art.thewalters.org/images/raw/PS4_1987.11.1_IntDetA_DD_ED25_58773.jpg,PS4_1987.11.1_IntDetA_DD_ED25_58773.jpg,Image,detail,10,0
39121,1987.11.1,103101,https://art.thewalters.org/images/raw/PS4_1987.11.1_IntDetB_DD_ED25_58777.jpg,PS4_1987.11.1_IntDetB_DD_ED25_58777.jpg,Image,detail,11,0
39121,1987.11.1,103102,https://art.thewalters.org/images/raw/PS4_1987.11.1_IntDetC_DD_ED25_58778.jpg,PS4_1987.11.1_IntDetC_DD_ED25_58778.jpg,Image,detail,12,0
39121,1987.11.1,103103,https://art.thewalters.org/images/raw/PS4_1987.11.1_VwA_DD_ED25_58621.jpg,PS4_1987.11.1_VwA_DD_ED25_58621.jpg,Image,view a,1,1
11979,1988.29.1,52188,https://art.thewalters.org/images/raw/PL2_1988.29.1_Fnt_BW_T96.jpg,PL2_1988.29.1_Fnt_BW_T96.jpg,Image,Front,1,1
96529,1988.29.1.11,70770,https://art.thewalters.org/images/raw/PL2_1988.29.1_Fnt_BW_T96.jpg,PL2_1988.29.1_Fnt_BW_T96.jpg,Image,Front,2,0
26391,1991.68.1,19408,https://art.thewalters.org/images/raw/PS3_1991.68.1_Fnt_DD_JP09.jpg,PS3_1991.68.1_Fnt_DD_JP09.jpg,Image,Front,1,1
2021,1991.68.10,19409,https://art.thewalters.org/images/raw/PS3_1991.68.10_Fnt_DD_JP09.jpg,PS3_1991.68.10_Fnt_DD_JP09.jpg,Image,Front,1,1
617,1991.68.11,19410,https://art.thewalters.org/images/raw/PS3_1991.68.11_Fnt_DD_JP09.jpg,PS3_1991.68.11_Fnt_DD_JP09.jpg,Image,Front,1,1
39566,1991.68.12,19411,https://art.thewalters.org/images/raw/PS3_1991.68.12_Fnt_DD_JP09.jpg,PS3_1991.68.12_Fnt_DD_JP09.jpg,Image,Front,1,1
7332,1991.68.13,19412,https://art.thewalters.org/images/raw/PS3_1991.68.13_Fnt_DD_JP09.jpg,PS3_1991.68.13_Fnt_DD_JP09.jpg,Image,Front,1,1
14381,1991.68.14,19413,https://art.thewalters.org/images/raw/PS3_1991.68.14_Fnt_DD_JP09.jpg,PS3_1991.68.14_Fnt_DD_JP09.jpg,Image,Front,1,1
5066,1991.68.15,19414,https://art.thewalters.org/images/raw/PS3_1991.68.15_Fnt_DD_JP09.jpg,PS3_1991.68.15_Fnt_DD_JP09.jpg,Image,Front,1,1
16459,1991.68.16,19415,https://art.thewalters.org/images/raw/PS3_1991.68.16_Fnt_DD_JP09.jpg,PS3_1991.68.16_Fnt_DD_JP09.jpg,Image,Front,1,1
7762,1991.68.17,19416,https://art.thewalters.org/images/raw/PS3_1991.68.17_Fnt_DD_JP09.jpg,PS3_1991.68.17_Fnt_DD_JP09.jpg,Image,Front,1,1
38608,1991.68.18,19417,https://art.thewalters.org/images/raw/PS3_1991.68.18_Fnt_DD_JP09.jpg,PS3_1991.68.18_Fnt_DD_JP09.jpg,Image,Front,1,1
22494,1991.68.19,19418,https://art.thewalters.org/images/raw/PS3_1991.68.19_Fnt_DD_JP09.jpg,PS3_1991.68.19_Fnt_DD_JP09.jpg,Image,Front,1,1
16062,1991.68.2,19419,https://art.thewalters.org/images/raw/PS3_1991.68.2_Fnt_DD_JP09.jpg,PS3_1991.68.2_Fnt_DD_JP09.jpg,Image,Front,1,1
35904,1991.68.20,19420,https://art.thewalters.org/images/raw/PS3_1991.68.20_Fnt_DD_JP09.jpg,PS3_1991.68.20_Fnt_DD_JP09.jpg,Image,Front,1,1
