"ExhibitionID","ExhTitle","ExhibEndDate","ExhibBeginYear","ExhibEndYear","Textblock","WaltersArtworks"
"2065","Industry of Perfection: The Refined Beauty of Japanese Cloisonne Enamels","18/4/2010"," 2009","2010","Industry of Perfection: The Refined Beauty of Japanese Cloisonne Enamels. The Walters Art Museum, Baltimore. 2009-2010.","4121|4686|10274|14399|15381|22703|26550|34624|36621"
"2755","Art of the Ancient Americas","25/10/2010"," 2002","2010","Art of the Ancient Americas. The Walters Art Museum, Baltimore. 2002-2010.","6211|7981|8846|13434|15663|21427|26685|26908|27277|28061|30958|38218|40210"
"2817","The Special Dead: A Medieval Reliquary Revealed","18/1/2009"," 2008","2009","The Special Dead: A Medieval Reliquary Revealed. The Walters Art Museum, Baltimore. 2008-2009.","22284"
"2059","The Saint John's Bible: A Modern Vision through Medieval Methods","24/5/2009"," 2009","2009","The Saint John's Bible: A Modern Vision through Medieval Methods. The Walters Art Museum, Baltimore. 2009.","3569|4040|6320|7365|8076|9820|10376|11344|11979|12380|12654|13392|14573|14825|16127|16453|17490|17581|18005|18020|18978|19908|20552|20698|22245|23200|24777|25054|25727|26706|26726|26743|27600|30052|30785|31403|32540|33876|34845|36269|36439|36943|37443|37657|39166|39217|39452|39602|40834|77874|77875|79066|79067|79070|79075|79085|79086|79089|79090|79097|79105|79597|81160|81161"
"2116","Herman Maril: An American Modernist","30/8/2009"," 2009","2009","Herman Maril: An American Modernist. The Walters Art Museum, Baltimore. 2009.","36177|79201"
"2111","Rembrandt Peale's Portrait of John Meer: A New Addition to the American Art Collection","23/8/2009"," 2009","2009","Rembrandt Peale's Portrait of John Meer: A New Addition to the American Art Collection. The Walters Art Museum, Baltimore. 2009.","5083|27643|76361"
"2117","Prayers in Code: Books of Hours from Renaissance France","19/7/2009"," 2009","2009","Prayers in Code: Books of Hours from Renaissance France. The Walters Art Museum, Baltimore. 2009.","272|1737|4710|7308|9078|12315|12484|13014|13018|15918|25539|26617|27716|29332|30108|36267|37920|78242|78253|78371|78478|79125|79127|79360|79361|79422|79428|85602"
"2128","Shrunken Treasures: Miniaturization in Books and Art","8/11/2009"," 2009","2009","Shrunken Treasures: Miniaturization in Books and Art. The Walters Art Museum, Baltimore. 2009.","663|2831|3518|4417|4845|6000|6483|7682|10302|10303|11052|12111|12641|13358|13558|14890|16326|17631|18932|20316|20520|21533|24961|25257|27938|32460|34985|36957|38784|40670|81661|81663"
"2109","Romance of the Rose: Visions of Love in Illuminated Medieval Manuscripts","19/4/2009"," 2009","2009","Romance of the Rose: Visions of Love in Illuminated Medieval Manuscripts. The Walters Art Museum, Baltimore. 2009.","5780|10665|29026|32774|32870|37260"
"2102","Portraits Re-Examined: Dawoud Bey Project","16/2/2009"," 2008","2009","Portraits Re-Examined: Dawoud Bey Project. The Walters Art Museum, Baltimore. 2008-2009.","7279|10824|11300|12787|14639|16344|19559|23082|32207|37483|37606|39436|39525"
